case:concept:name,cohort,cycle_time_days,automation_ratio,total_events,is_rework,has_payment_block_removed
2000000062_00001,2,167.74652777777777,0.7778,9,0,0
2000000063_00001,2,167.74583333333334,0.7778,9,0,0
2000000064_00001,2,355.8541666666667,0.481,79,1,0
2000000065_00001,2,355.8534722222222,0.4935,77,1,0
2000000066_00001,2,355.8534722222222,0.5065,77,1,0
2000000067_00001,2,355.8534722222222,0.5072,69,0,0
2000000068_00001,2,355.8541666666667,0.5059,85,1,0
2000000069_00001,2,355.8541666666667,0.4688,96,1,0
2000000070_00001,2,355.8541666666667,0.5075,67,1,0
2000000071_00001,2,321.5777777777778,0.4737,57,1,0
2000000072_00001,2,355.8534722222222,0.4805,77,1,0
2000000073_00001,2,66.27222222222223,0.6667,12,0,0
2000000074_00001,2,45.12916666666667,0.6667,12,0,0
2000000075_00001,2,66.16180555555556,0.6667,12,0,0
2000000076_00001,2,45.12916666666667,0.6667,12,0,0
2000000076_00002,2,45.12916666666667,0.6667,12,0,0
2000000076_00003,2,0.041666666666666664,0.875,8,0,0
2000000077_00001,2,73.19027777777778,0.6667,12,0,0
2000000077_00002,2,0.041666666666666664,0.875,8,0,0
2000000078_00001,2,165.09375,0.5789,19,0,0
2000000079_00001,2,65.06458333333333,0.6667,12,0,0
2000000079_00002,2,65.06458333333333,0.6667,12,0,0
2000000079_00003,2,65.06458333333333,0.6667,12,0,0
2000000080_00001,2,57.9625,0.75,12,0,0
2000000080_00002,2,0.041666666666666664,0.875,8,0,0
2000000081_00001,2,349.9486111111111,0.5517,29,0,0
2000000082_00001,2,43.25555555555555,0.6667,12,0,0
2000000082_00002,2,43.25555555555555,0.6667,12,0,0
2000000083_00001,2,64.28680555555556,0.6667,12,0,0
2000000083_00002,2,64.28680555555556,0.6667,12,0,0
2000000083_00003,2,64.28680555555556,0.6667,12,0,0
2000000084_00001,2,175.55208333333334,0.75,12,0,0
2000000085_00001,2,63.102777777777774,0.6667,12,0,0
2000000086_00001,2,42.06319444444444,0.6667,12,0,0
2000000086_00002,2,42.06319444444444,0.6667,12,0,0
2000000087_00001,2,70.03333333333333,0.6923,13,0,0
2000000088_00001,2,161.94375,0.5,20,1,0
2000000089_00001,2,90.77986111111112,0.6923,13,0,0
2000000090_00001,2,28.004166666666666,0.75,12,0,0
2000000091_00001,2,62.29097222222222,0.6923,13,0,0
2000000092_00001,2,205.56319444444443,0.8,10,0,0
2000000093_00001,2,101.54722222222222,0.6923,13,0,0
2000000094_00001,2,62.06458333333333,0.6667,12,0,0
2000000095_00001,2,61.99444444444445,0.6667,12,0,0
2000000096_00001,5,61.94166666666667,0.6923,13,0,1
2000000097_00001,2,6536.500694444445,0.5652,23,1,0
2000000098_00001,2,24.30763888888889,0.6667,12,0,0
2000000098_00002,2,24.30763888888889,0.6667,12,0,0
2000000098_00003,2,24.30763888888889,0.6667,12,0,0
2000000099_00001,2,38.141666666666666,0.6667,12,0,0
2000000100_00001,4,818.9583333333334,0.3599,464,1,1
2000000101_00001,2,86.97083333333333,0.56,25,1,0
2000000102_00001,2,269.9243055555556,0.5,64,1,0
2000000103_00001,2,59.022222222222226,0.75,12,0,0
2000000104_00001,2,66.02222222222223,0.6667,12,0,0
2000000105_00001,2,0.041666666666666664,0.875,8,0,0
2000000106_00001,2,37.55833333333333,0.6,20,0,0
2000000107_00001,2,352.0777777777778,0.6,15,1,0
2000000108_00001,2,352.0673611111111,0.6,15,0,0
2000000109_00001,2,646.65625,0.6923,13,0,0
2000000110_00001,2,85.91805555555555,0.6667,12,0,0
2000000111_00001,2,351.94652777777776,0.6,15,0,0
2000000112_00001,2,65.04097222222222,0.6667,12,0,0
2000000113_00001,2,113.94375,0.6667,12,0,0
2000000114_00001,2,351.8881944444444,0.4792,48,1,0
2000000115_00001,2,392.50069444444443,0.4565,46,1,0
2000000116_00001,2,268.1166666666667,0.6111,18,1,1
2000000117_00001,2,64.21458333333334,0.6667,12,0,0
2000000117_00002,2,64.21458333333334,0.6667,12,0,0
2000000117_00003,2,64.21458333333334,0.6667,12,0,0
2000000117_00004,2,64.21458333333334,0.6667,12,0,0
2000000117_00005,2,64.21458333333334,0.6667,12,0,0
2000000117_00006,2,64.21458333333334,0.6667,12,0,0
2000000118_00001,2,200.55208333333334,0.8,10,0,0
2000000119_00001,2,0.04236111111111111,0.875,8,0,0
2000000120_00001,2,84.84166666666667,0.6111,18,0,0
2000000121_00001,2,63.28958333333333,0.6667,12,0,0
2000000121_00002,2,63.28958333333333,0.6667,12,0,0
2000000121_00003,2,63.28958333333333,0.6667,12,0,0
2000000121_00004,2,63.28958333333333,0.6667,12,0,0
2000000121_00005,2,63.28958333333333,0.6667,12,0,0
2000000121_00006,2,63.28958333333333,0.6667,12,0,0
2000000121_00007,2,63.28958333333333,0.6667,12,0,0
2000000121_00008,2,63.28958333333333,0.6667,12,0,0
2000000121_00009,2,63.28958333333333,0.6667,12,0,0
2000000121_00010,2,63.28958333333333,0.6667,12,0,0
2000000121_00011,2,63.28958333333333,0.6667,12,0,0
2000000122_00001,2,175.2888888888889,0.5161,31,1,0
2000000123_00001,2,83.97361111111111,0.6667,12,0,0
2000000123_00002,2,112.07083333333334,0.6667,12,0,0
2000000123_00003,2,83.97361111111111,0.6667,12,0,0
2000000123_00004,2,83.97361111111111,0.6667,12,0,0
2000000123_00005,2,83.97361111111111,0.6667,12,0,0
2000000124_00001,2,63.165277777777774,0.6667,12,0,0
2000000124_00002,2,63.165277777777774,0.6667,12,0,0
2000000125_00001,2,199.60486111111112,0.8,10,0,0
2000000125_00002,2,199.60486111111112,0.8,10,0,0
2000000126_00001,2,42.12430555555556,0.6667,12,0,0
2000000126_00002,2,42.12430555555556,0.6667,12,0,0
2000000126_00003,2,42.12430555555556,0.6667,12,0,0
2000000127_00001,2,83.73125,0.6667,12,0,0
2000000128_00001,2,62.016666666666666,0.5714,21,1,0
2000000129_00001,2,52.22361111111111,0.6923,13,0,0
2000000130_00001,2,79.01805555555555,0.6667,12,0,0
2000000130_00002,2,79.01805555555555,0.6667,12,0,0
2000000131_00001,2,37.0125,0.5882,17,1,0
2000000131_00002,2,37.0125,0.625,16,1,0
2000000132_00001,2,36.99930555555556,0.7692,13,0,0
2000000133_00001,2,106.83055555555555,0.6667,12,0,0
2000000134_00001,2,57.25069444444444,0.75,12,0,0
2000000135_00001,2,141.17638888888888,0.6667,12,0,0
2000000135_00002,2,141.17638888888888,0.6667,12,0,0
2000000136_00001,2,231.17638888888888,0.7778,9,0,0
2000000137_00001,2,57.21597222222222,0.6667,12,0,0
2000000138_00001,2,71.14305555555555,0.6667,12,0,0
2000000139_00001,2,77.87569444444445,0.6667,12,0,0
2000000140_00001,2,49.24791666666667,0.6667,12,0,0
2000000141_00001,2,77.05277777777778,0.6667,12,0,0
2000000141_00002,2,77.05277777777778,0.6667,12,0,0
2000000141_00003,2,77.05277777777778,0.6667,12,0,0
2000000142_00001,2,192.68402777777777,0.8,10,0,0
2000000142_00002,2,192.68402777777777,0.8,10,0,0
2000000142_00003,2,192.68402777777777,0.8,10,0,0
2000000143_00001,2,90.04166666666667,0.6923,13,0,0
2000000144_00001,5,76.82777777777778,0.6154,13,0,1
2000000144_00002,2,76.82777777777778,0.6667,12,0,0
2000000145_00001,5,76.82708333333333,0.6154,13,0,1
2000000146_00001,2,56.015277777777776,0.4828,29,1,0
2000000147_00001,2,56.020833333333336,0.6923,13,0,0
2000000148_00001,2,76.82638888888889,0.6667,12,0,0
2000000149_00001,2,56.018055555555556,0.6667,12,0,0
2000000150_00001,2,55.990972222222226,0.6667,12,0,0
2000000150_00002,2,55.990972222222226,0.6667,12,0,0
2000000150_00003,2,55.990972222222226,0.6667,12,0,0
2000000150_00004,2,55.990972222222226,0.6667,12,0,0
2000000150_00005,2,55.990972222222226,0.6667,12,0,0
2000000150_00006,2,55.990972222222226,0.6667,12,0,0
2000000150_00007,2,55.990972222222226,0.6667,12,0,0
2000000150_00008,2,55.990972222222226,0.6667,12,0,0
2000000150_00009,2,55.990972222222226,0.6667,12,0,0
2000000151_00001,2,55.94305555555555,0.6667,12,0,0
2000000152_00001,2,55.24444444444445,0.6667,12,0,0
2000000152_00002,2,55.24444444444445,0.6667,12,0,0
2000000152_00003,2,55.24444444444445,0.6667,12,0,0
2000000152_00004,2,55.24444444444445,0.6667,12,0,0
2000000153_00001,2,208.64930555555554,0.8,10,0,0
2000000153_00002,2,208.64930555555554,0.8,10,0,0
2000000153_00003,2,208.64930555555554,0.8,10,0,0
2000000153_00004,2,208.64930555555554,0.8,10,0,0
2000000153_00005,2,208.64930555555554,0.8,10,0,0
2000000153_00006,2,208.64930555555554,0.8,10,0,0
2000000153_00007,2,208.64930555555554,0.8,10,0,0
2000000153_00008,2,208.64930555555554,0.8,10,0,0
2000000153_00009,2,208.64930555555554,0.8,10,0,0
2000000153_00010,2,208.64930555555554,0.8,10,0,0
2000000154_00001,2,52.236805555555556,0.6923,13,0,0
2000000155_00001,2,52.14861111111111,0.6667,12,0,0
2000000156_00001,2,24.011111111111113,0.6923,13,0,0
2000000157_00001,2,493.65069444444447,0.4615,26,1,0
2000000157_00002,2,448.58680555555554,0.4615,26,1,0
2000000157_00003,2,434.6152777777778,0.4615,26,1,0
2000000157_00004,2,324.46944444444443,0.5,22,1,0
2000000158_00001,2,338.775,0.6,15,1,0
2000000159_00001,2,51.12708333333333,0.6667,12,0,0
2000000160_00001,2,50.175,0.6667,12,0,0
2000000160_00002,2,50.175,0.6667,12,0,0
2000000161_00001,2,168.15625,0.4615,39,1,0
2000000162_00001,2,50.13611111111111,0.6667,12,0,0
2000000162_00002,2,50.13611111111111,0.6667,12,0,0
2000000163_00001,2,169.02430555555554,0.6923,13,0,0
2000000164_00001,2,98.90069444444444,0.6667,12,0,0
2000000165_00001,2,42.052083333333336,0.6667,12,0,0
2000000166_00001,2,42.052083333333336,0.6667,12,0,0
2000000167_00001,2,49.06805555555555,0.6667,12,0,0
2000000167_00002,2,49.06805555555555,0.6667,12,0,0
2000000167_00003,2,49.06805555555555,0.6667,12,0,0
2000000168_00001,2,68.92916666666666,0.6667,12,0,0
2000000168_00002,2,68.92916666666666,0.6667,12,0,0
2000000169_00001,2,48.12222222222222,0.6667,12,0,0
2000000169_00002,2,48.12222222222222,0.6667,12,0,0
2000000169_00003,2,48.12222222222222,0.6667,12,0,0
2000000170_00001,2,202.05069444444445,0.6923,13,0,0
2000000171_00001,2,334.9888888888889,0.6429,14,0,0
2000000172_00001,2,167.86041666666668,0.5625,16,1,0
2000000172_00002,2,167.86041666666668,0.5625,16,1,0
2000000173_00001,2,48.052083333333336,0.6667,12,0,0
2000000173_00002,2,48.052083333333336,0.6667,12,0,0
2000000173_00003,2,48.052083333333336,0.6667,12,0,0
2000000173_00004,2,48.052083333333336,0.6667,12,0,0
2000000174_00001,1,52.87777777777778,0.625,16,1,0
2000000174_00002,1,52.87777777777778,0.625,16,1,0
2000000174_00003,2,68.85902777777778,0.55,20,1,0
2000000174_00004,2,68.85902777777778,0.55,20,1,0
2000000174_00005,2,68.85902777777778,0.55,20,1,0
2000000174_00006,2,68.85902777777778,0.55,20,1,0
2000000175_00001,2,68.85902777777778,0.6667,12,0,0
2000000175_00002,2,68.85902777777778,0.6667,12,0,0
2000000176_00001,2,19.87361111111111,0.6923,13,0,0
2000000177_00001,2,87.24930555555555,0.5714,14,0,0
2000000177_00002,2,87.24930555555555,0.6,15,0,0
2000000178_00001,2,125.95555555555555,0.7059,17,0,0
2000000178_00002,2,125.95555555555555,0.7333,15,0,0
2000000178_00003,2,136.02916666666667,0.5909,22,1,0
2000000179_00001,2,45.09722222222222,0.6667,12,0,0
2000000180_00001,2,65.90416666666667,0.6667,12,0,0
2000000180_00002,2,65.90416666666667,0.6667,12,0,0
2000000180_00003,2,65.90416666666667,0.6667,12,0,0
2000000181_00001,2,65.90555555555555,0.6667,12,0,0
2000000182_00001,2,78.80625,0.6923,13,0,0
2000000183_00001,2,22.05,0.7778,9,0,0
2000000184_00001,2,282.24444444444447,0.6,15,1,0
2000000185_00001,2,64.84375,0.5625,16,1,0
2000000186_00001,2,281.29027777777776,0.5263,57,0,0
2000000187_00001,2,148.0701388888889,0.5333,15,0,0
2000000188_00001,2,329.93611111111113,0.6,15,0,0
2000000189_00001,2,63.74652777777778,0.6667,12,0,0
2000000190_00001,2,63.74652777777778,0.6667,12,0,0
2000000191_00001,2,329.78055555555557,0.6,15,0,0
2000000192_00001,2,195.68958333333333,0.8182,11,0,0
2000000193_00001,2,328.10555555555555,0.5652,23,1,0
2000000194_00001,2,61.919444444444444,0.6667,12,0,0
2000000195_00001,2,55.06736111111111,0.6667,12,0,0
2000000196_00001,2,41.05277777777778,0.6667,12,0,0
2000000197_00001,2,40.888888888888886,0.6667,12,0,0
2000000197_00002,2,40.888888888888886,0.6667,12,0,0
2000000198_00001,2,318.2027777777778,0.5833,24,1,0
2000000199_00001,2,258.7972222222222,0.5556,18,1,1
2000000200_00001,2,324.7631944444444,0.6,15,0,0
2000000201_00001,2,37.29236111111111,0.6667,12,0,0
2000000202_00001,2,37.264583333333334,0.6667,12,0,0
2000000202_00002,2,37.264583333333334,0.6667,12,0,0
2000000202_00003,2,37.264583333333334,0.6667,12,0,0
2000000202_00004,2,37.264583333333334,0.6667,12,0,0
2000000203_00001,2,58.07083333333333,0.6667,12,0,0
2000000204_00001,2,407.50208333333336,0.7143,14,0,0
2000000205_00001,2,37.20763888888889,0.6667,12,0,0
2000000206_00001,2,349.6118055555556,0.4909,55,0,0
2000000207_00001,2,85.85277777777777,0.6667,12,0,0
2000000208_00001,2,120.89791666666666,0.6667,12,0,0
2000000209_00001,2,57.75486111111111,0.6667,12,0,0
2000000210_00001,2,29.176388888888887,0.6667,12,0,0
2000000211_00001,2,36.0,0.6667,12,0,0
2000000211_00002,2,36.0,0.6667,12,0,0
2000000211_00003,2,36.0,0.6667,12,0,0
2000000211_00004,2,36.0,0.6667,12,0,0
2000000211_00005,2,36.0,0.6667,12,0,0
2000000211_00006,2,36.0,0.6667,12,0,0
2000000211_00007,2,36.0,0.6667,12,0,0
2000000211_00008,2,36.0,0.6667,12,0,0
2000000212_00001,2,21.900694444444444,0.6923,13,0,0
2000000213_00001,2,274.01458333333335,0.6111,18,1,0
2000000214_00001,2,56.764583333333334,0.6923,13,0,0
2000000215_00001,2,98.07083333333334,0.6923,13,0,0
2000000216_00001,2,69.0736111111111,0.6923,13,0,0
2000000217_00001,2,140.00555555555556,0.6111,18,0,0
2000000218_00001,2,321.99444444444447,0.6,15,1,0
2000000219_00001,2,55.85347222222222,0.6923,13,0,0
2000000220_00001,2,125.80069444444445,0.6,25,0,0
4507000221_00010,0,115.27222222222223,0.3333,6,0,0
4507000222_00010,0,114.27083333333333,0.3333,6,0,0
4507000222_00020,0,114.27083333333333,0.3333,6,0,0
4507000223_00010,0,86.43402777777777,0.3333,6,0,0
4507000224_00010,0,51.52361111111111,0.3333,6,0,0
4507000225_00010,0,51.49791666666667,0.4,5,0,0
4507000225_00020,0,51.49791666666667,0.4,5,0,0
4507000225_00030,0,51.49791666666667,0.4,5,0,0
4507000225_00040,0,51.49791666666667,0.4,5,0,0
4507000226_00010,0,86.28194444444445,0.1667,6,1,0
4507000227_00010,0,86.27986111111112,0.4,5,0,0
4507000228_00010,0,51.365972222222226,0.2,5,0,0
4507000228_00020,2,51.365972222222226,0.25,8,1,0
4507000228_00030,0,51.365972222222226,0.2,5,0,0
4507000228_00040,0,51.365972222222226,0.2,5,0,0
4507000229_00010,5,86.27430555555556,0.125,8,1,1
4507000229_00020,5,75.96597222222222,0.1429,7,1,1
4507000230_00010,5,58.27361111111111,0.1667,6,0,1
4507000230_00020,5,58.27361111111111,0.1667,6,0,1
4507000230_00030,5,58.27361111111111,0.1667,6,0,1
4507000230_00040,2,86.27569444444444,0.2,10,1,1
4507000230_00050,5,58.27361111111111,0.1667,6,0,1
4507000230_00060,5,58.27361111111111,0.1667,6,0,1
4507000230_00070,5,58.27361111111111,0.2,10,0,1
4507000230_00080,5,58.27361111111111,0.1667,6,0,1
4507000230_00090,5,58.27361111111111,0.1667,6,0,1
4507000230_00100,5,58.27361111111111,0.1667,6,0,1
4507000231_00010,5,86.27708333333334,0.3333,6,0,1
4507000231_00020,5,86.27708333333334,0.3333,6,0,1
4507000232_00010,5,23.39027777777778,0.1667,6,0,1
4507000232_00020,5,23.39027777777778,0.1667,6,0,1
4507000232_00030,5,23.39027777777778,0.1667,6,0,1
4507000233_00010,5,86.27222222222223,0.1667,6,0,1
4507000234_00010,0,23.384027777777778,0.2,5,0,0
4507000234_00020,0,23.384027777777778,0.2,5,0,0
4507000234_00030,0,23.384027777777778,0.2,5,0,0
4507000235_00010,0,51.356944444444444,0.2,5,0,0
4507000235_00020,0,51.356944444444444,0.2,5,0,0
4507000235_00030,0,86.26736111111111,0.4,5,0,0
4507000235_00040,0,51.356944444444444,0.2,5,0,0
4507000236_00010,0,65.23541666666667,0.1429,7,1,0
4507000237_00010,5,86.26805555555555,0.1667,6,0,1
4507000238_00010,5,72.26805555555555,0.1667,6,0,1
4507000238_00020,5,72.26805555555555,0.1667,6,0,1
4507000238_00030,5,72.26805555555555,0.1667,6,0,1
4507000238_00040,5,72.26805555555555,0.1667,6,0,1
4507000238_00050,5,72.26805555555555,0.1667,6,0,1
4507000238_00060,5,72.26805555555555,0.1667,6,0,1
4507000238_00070,5,72.26805555555555,0.1667,6,0,1
4507000238_00080,5,72.26805555555555,0.1667,6,0,1
4507000238_00090,5,72.26805555555555,0.1667,6,0,1
4507000238_00100,2,127.22430555555556,0.25,20,1,1
4507000238_00110,5,72.26805555555555,0.1667,6,0,1
4507000238_00120,5,72.26805555555555,0.1667,6,0,1
4507000238_00130,5,72.26805555555555,0.1667,6,0,1
4507000238_00140,5,72.26805555555555,0.1667,6,0,1
4507000238_00150,2,246.73333333333332,0.3333,15,1,1
4507000238_00160,5,72.26805555555555,0.1667,6,0,1
4507000238_00170,5,72.26805555555555,0.1667,6,0,1
4507000238_00180,5,72.26805555555555,0.1667,6,0,1
4507000238_00190,5,72.26805555555555,0.1667,6,0,1
4507000238_00200,5,72.26805555555555,0.1667,6,0,1
4507000238_00210,5,72.26805555555555,0.1667,6,0,1
4507000238_00220,5,72.26805555555555,0.1667,6,0,1
4507000238_00230,5,72.26805555555555,0.1667,6,0,1
4507000238_00240,2,127.22430555555556,0.2222,9,1,1
4507000238_00250,5,72.26805555555555,0.1667,6,0,1
4507000238_00260,5,72.26805555555555,0.1667,6,0,1
4507000238_00270,5,72.26805555555555,0.1667,6,0,1
4507000238_00280,5,72.26805555555555,0.1667,6,0,1
4507000238_00290,5,72.26805555555555,0.1667,6,0,1
4507000238_00300,5,72.26805555555555,0.1667,6,0,1
4507000238_00310,5,72.26805555555555,0.1667,6,0,1
4507000238_00320,5,72.26805555555555,0.1667,6,0,1
4507000238_00330,5,72.26805555555555,0.1667,6,0,1
4507000238_00340,5,72.26805555555555,0.1667,6,0,1
4507000238_00350,2,72.26805555555555,0.2727,11,1,1
4507000238_00360,5,72.26805555555555,0.1667,6,0,1
4507000238_00370,5,72.26805555555555,0.1667,6,0,1
4507000238_00380,5,72.26805555555555,0.1667,6,0,1
4507000238_00390,5,72.26805555555555,0.1667,6,0,1
4507000238_00400,5,72.26805555555555,0.1667,6,0,1
4507000238_00410,5,72.26805555555555,0.1667,6,0,1
4507000238_00420,5,72.26805555555555,0.1667,6,0,1
4507000238_00430,5,72.26805555555555,0.1667,6,0,1
4507000238_00440,5,72.26805555555555,0.1667,6,0,1
4507000238_00450,5,72.26805555555555,0.1667,6,0,1
4507000238_00460,2,127.22430555555556,0.2222,9,1,1
4507000238_00470,5,72.26805555555555,0.1667,6,0,1
4507000238_00480,5,72.26805555555555,0.1667,6,0,1
4507000238_00490,5,72.26805555555555,0.1667,6,0,1
4507000238_00500,5,72.26805555555555,0.2,10,0,1
4507000238_00510,5,72.26805555555555,0.1667,6,0,1
4507000238_00520,5,72.26805555555555,0.1667,6,0,1
4507000238_00530,5,72.26805555555555,0.1667,6,0,1
4507000238_00540,0,93.29305555555555,0.2,5,0,0
4507000238_00550,5,72.26805555555555,0.1667,6,0,1
4507000238_00560,0,65.23194444444445,0.2,5,0,0
4507000238_00570,5,72.26805555555555,0.1667,6,0,1
4507000238_00580,5,72.26805555555555,0.1667,6,0,1
4507000239_00010,0,23.379166666666666,0.2,5,0,0
4507000239_00020,0,23.379166666666666,0.2,5,0,0
4507000239_00030,0,23.379166666666666,0.2,5,0,0
4507000239_00040,0,23.379166666666666,0.2,5,0,0
4507000239_00050,0,23.379166666666666,0.2,5,0,0
4507000239_00060,0,23.379166666666666,0.2,5,0,0
4507000239_00070,0,23.379166666666666,0.2,5,0,0
4507000239_00080,0,23.379166666666666,0.1667,6,1,0
4507000240_00001,0,114.08819444444444,0.5,6,0,0
4507000241_00001,0,114.08819444444444,0.5,6,0,0
4507000242_00001,0,114.08819444444444,0.5,6,0,0
4507000243_00001,0,114.08819444444444,0.5,6,0,0
4507000244_00001,0,114.08819444444444,0.5,6,0,0
4507000245_00001,0,142.18541666666667,0.5,6,0,0
4507000246_00001,0,114.08819444444444,0.5,6,0,0
4507000247_00001,0,142.18194444444444,0.5,6,0,0
4507000248_00001,0,114.08472222222223,0.5,6,0,0
4507000249_00001,0,142.18194444444444,0.5,6,0,0
4507000250_00010,0,23.36111111111111,0.2,5,0,0
4507000250_00020,0,23.054861111111112,0.2,5,0,0
4507000251_00010,0,23.35902777777778,0.2,5,0,0
4507000251_00020,0,23.35902777777778,0.2,5,0,0
4507000251_00030,0,23.35902777777778,0.2,5,0,0
4507000252_00010,0,101.05,0.2,5,0,0
4507000252_00020,0,101.05,0.2,5,0,0
4507000252_00030,0,101.05,0.2,5,0,0
4507000252_00040,0,101.05,0.2,5,0,0
4507000252_00050,0,101.05,0.2,5,0,0
4507000252_00060,0,101.05,0.2,5,0,0
4507000252_00070,0,101.05,0.2,5,0,0
4507000252_00080,0,101.05,0.2,5,0,0
4507000252_00090,0,101.05,0.2,5,0,0
4507000252_00100,0,101.05,0.2,5,0,0
4507000252_00110,3,208.61875,0.25,4,0,0
4507000252_00120,3,200.7513888888889,0.1429,7,1,0
4507000252_00130,3,200.7513888888889,0.2,5,1,0
4507000253_00010,0,93.2625,0.2,5,0,0
4507000254_00010,5,65.20277777777778,0.3333,6,0,1
4507000254_00020,5,65.20277777777778,0.3333,6,0,1
4507000254_00030,5,65.20277777777778,0.3333,6,0,1
4507000254_00040,5,65.20277777777778,0.3333,6,0,1
4507000254_00050,5,65.20277777777778,0.3333,6,0,1
4507000254_00060,3,189.6951388888889,0.3333,3,0,0
4507000255_00010,0,51.30902777777778,0.2,5,0,0
4507000255_00020,1,51.30902777777778,0.1429,7,1,0
4507000255_00030,0,51.30902777777778,0.2,5,0,0
4507000255_00040,0,51.30902777777778,0.2,5,0,0
4507000255_00050,0,51.30902777777778,0.2,5,0,0
4507000256_00010,3,38.33611111111111,0.0,3,1,0
4507000257_00010,5,86.21111111111111,0.1667,6,0,1
4507000257_00020,5,86.21111111111111,0.1667,6,0,1
4507000257_00030,5,86.21111111111111,0.1667,6,0,1
4507000257_00040,5,86.21111111111111,0.1667,6,0,1
4507000257_00050,5,86.21111111111111,0.1667,6,0,1
4507000257_00060,5,86.21111111111111,0.1667,6,0,1
4507000257_00070,0,86.21111111111111,0.2,5,0,0
